recipe_slug	score_bound
almond-chip-cookies	2.6604528163770627
almond-croissants	2.7312214917583524
apple-crisp	2.771192788823052
apple-crumble	2.887515117582537
apple-pie	2.8513685671665465
asparagus-burger	2.112669578906098
asparagus-quiche	2.0761314480023256
bacon-and-egg-breakfast-sandwich	1.778567937068284
bacon-chocolate-chip-cookies	1.7919767705253737
bacon-egg-muffins	1.8049209710770042
bacon-fried-rice	1.8483178878660247
bacon-mac-and-cheese	1.8550050432604772
bacon-souffle	1.5983731212824794
bacon-wrapped-asparagus	1.8343567229942412
bacon-wrapped-chicken	1.8588150123360379
bacon-wrapped-dates	1.765481163496317
bacon-wrapped-scallops	1.768127722814333
bacon-wrapped-shrimp-skewers	1.8080048525885501
berry-crisp	2.6224695869462966
berry-crumble	2.5142104420974425
blueberry-crisp	2.6388483936874687
blueberry-crumble	2.5060553698376884
bolognese-sauce	2.458815709151848
breakfast-burritos	1.803496186626606
brioche-bread	2.8056100895229097
brioche-bread-with-chocolate	2.7343034515497764
brownies	2.7166220791784097
burritos	2.2634807856255628
butter-croissants	2.421948894911723
cherry-cobbler	2.6466689980620353
cherry-pie	2.7010589984400664
chicken-alfredo-lasagna	2.470367292166075
chicken-fingers	2.2543115187494482
chicken-nuggets	2.322670627610265
chiles-rellenos	1.862658735314434
chocolate-babka	2.8271906892936403
chocolate-cake	2.6412023245882867
chocolate-croissants	2.6130601076518856
chocolate-peanut-butter-cake	2.67262124417373
chocolate-souffle	2.3496452366608134
cinnamon-babka	2.535214622982177
classic-beef-lasagna	2.4578695237926462
cold-noodles-with-tomatoes	2.1340858608508
cold-sesame-noodles	2.0733810862526587
cold-soba-noodles-with-tomato-and-cucumber	2.046275431274522
cranberry-apple-crisp	2.800090061163489
cranberry-relish	2.752227784478087
cranberry-sauce	2.7522277844780874
croissant-aux-amandes	2.7762434929356314
croissants	2.7665073046020545
dan-dan-noodles	1.8932184901830194
danishes	1.9541610470789987
enchiladas	2.265286833277239
fajitas	2.3506659333033966
falafel	1.8313810970173419
french-toast	2.4596020563701146
fried-oysters	2.007011511135903
guacamole	2.1156905353176616
lasagna	2.3704590486351567
loaded-nachos	2.2786909352264666
ma-la-beef	1.8662746302367803
ma-la-chicken	1.8847783985904525
maple-bacon-donuts	1.8105833701141605
maple-bacon-pancakes	1.7572907142569296
mushroom-quiche	2.3404265462051774
nacho-casserole	2.257523625028426
nacho-dip	2.197046386412573
nacho-fries	2.3432582140702256
nacho-salad	2.3253998574373576
nachos	2.2625415968493874
pain-au-chocolat	2.8530437650583056
pasta-primavera	2.1772059293384487
peach-cobbler	2.635403137385224
peach-crisp	2.6370508313693137
peanut-butter-brownies	2.587617290811385
peanut-butter-cupcakes	2.7872531140405283
pickled-asparagus	1.793280729466604
pickled-green-beans	1.8693654378652327
pico-de-gallo	2.0533648553930206
quesadillas	2.3670190497121575
quiche-lorraine	1.8302274088785047
ramen	1.9534674553192364
soba-noodle-salad-with-peanut-dressing	2.2698662780818615
souffle	2.4373704192625363
spam-musubi	1.8967262808296907
spamburger	1.9341807839772884
spinach-and-feta-quiche	2.2680743892426616
spinach-and-ricotta-lasagna	2.42379415252542
spinach-and-ricotta-stuffed-shells	2.2444080209629678
spinach-quiche	2.191477216293877
strawberry-rhubarb-crisp	2.852382670557816
sujebi	1.9211161415579479
taco-salad	2.3414503693228994
tacos	2.3087315762400493
tamales	2.368621458465836
tempura-udon	2.286542157479238
udon	2.190419754011137
vanilla-souffle	2.5278349007413587
vegetable-lasagna	2.0402361335038224
vegetarian-mushroom-lasagna	2.329128278902516
