recipe_tag	coefficient
bias	0.3526031518907788
alfredo	0.047705681619165365
almond	0.10508830632951008
american	0.0322468037643094
appetizer	-0.043826550819089115
appetizers	0.0032919494070134184
apple	0.012224721562027509
asiancuisine	0.010928333637687691
asparagus	-0.07709931266985916
avocado	-0.006203058717740971
bacon	-0.34397360666986
baked	0.013881666896907865
bakeddishes	0.06060918411159646
bakery	0.05487826029583726
baking	0.2520551976684187
beans	0.032180785734873533
beef	-0.013291514330234476
bellpeppers	0.0015466475873167906
berries	0.05412467485910938
blackbeans	0.0015466475873167906
blackvinegar	-0.017487294009061554
blueberry	0.025856548951702772
boiledeggs	-0.04247261252689923
bokchoy	-0.04247261252689923
braided	0.02244572865997724
bread	0.07412353635602648
breaded	0.025268201846684192
breakfast	0.011446417424762295
breakfastpastry	0.03564593475458338
brioche	-0.048440259939338044
broiling	0.01728387261843988
brownies	0.05114967854928669
brownsugar	0.008191875584642922
brunch	0.07875061468926342
burger	0.0013326485201987494
burritos	0.007274995866437262
buttery	0.08597352029361353
cake	0.04541557306287191
carrots	-0.04247261252689923
casserole	-0.007745775482125248
celebration	0.004007015540372153
cheese	-0.015410053171701271
cheesy	0.03641218405807939
cherry	0.03539828830361263
chicken	0.0008490703577533551
chickpeas	0.0013326485201987494
chilioil	-0.02456534760028706
chilipowder	0.0015466475873167906
chinese	-0.03003932585826492
chinesecookingwine	-0.007078053591225506
chinesecuisine	-0.0657211147480284
chocolate	0.03477085730861389
chocolatechip	0.06300556301308256
chocolatecroissant	0.03564593475458338
christmas	0.0755837265312733
cilantro	-0.01707933799998594
cinnamon	0.09851065406105763
citrus	0.03779186326563665
classic	0.07155242590283178
cloves	-0.0011161025608845765
cobbler	0.08204306768822046
cocoapowder	0.03601115419499613
coffee	0.0674486657583241
cold	-0.03003932585826492
coldnoodles	-0.0131184458667423
comfortfood	0.07388765197260952
condiment	-0.014736320182157508
cookies	-0.040815747294247307
corn	0.004007015540372153
cranberry	0.10161850238009228
creamcheese	-0.15267924317682402
creamy	-0.022782987280826138
crisp	0.09275112295525356
crispy	0.04573430584894991
croissant	0.0674486657583241
croissants	0.08346038139680148
crumble	0.09294747199593084
crust	-0.0011161025608845765
cucumber	-0.0131184458667423
cumin	0.0015466475873167906
cupcakes	-0.007340626762921832
custard	-0.0184173011659749
custardy	0.01066749249181472
customizable	0.012833828744676134
danish	-0.15267924317682402
dashibroth	0.007332129499992367
dates	-0.03235188539906966
decadent	0.07966805227631164
dessert	0.20505796537937432
dinner	0.02850649317225075
dip	0.036110437966006215
donuts	-0.05344727565101848
easterneuropean	0.02244572865997724
easy	0.06223484773310917
easydinner	0.033788614082878185
egg	-0.0011664773684949435
eggs	0.00411275642358077
eggwhites	0.025361003920275158
fajitaseasoning	-0.0026810327028475582
fall	0.031183724387088153
familyfriendly	0.02604283860075294
fastfood	0.025268201846684192
fetacheese	0.0003211298045564301
filling	0.030672829425112166
fingerfood	0.03980415006219392
flaky	0.06515827260852405
french	0.1595222453547434
frenchcuisine	-0.0162091668387028
frenchpastry	0.15797286080874473
fresh	-0.013448871950682922
fried	0.0252275725350253
friedfood	-0.06744722525477949
friedrice	0.01783900068043603
fries	0.00961632091566304
frosting	0.03807494629995008
fruit	-0.004196807442317645
fudgy	0.057222323616334406
gamedayfood	0.02203746347330493
ganache	0.009404418867875783
garlic	-0.011099446741950788
ginger	-0.007078053591225506
glutenfree	0.07723883435585271
goldenbrown	0.03112891525806522
greenbeans	-0.06485723644105816
greenonion	-0.004021393150725281
greenonions	-0.03519761666046197
grill	0.0013326485201987494
grilled	-0.03209390419569534
grilling	0.01728387261843988
groundbeef	0.01648585040499306
gruyere	0.06589906241579095
gruyerecheese	-0.018011804573942948
guacamole	0.031046400619342766
hamandcheese	-0.15267924317682402
hamburger	-0.039844779373852814
handheld	0.012833828744676134
handtorndough	-0.09622143251633274
hawaii	-0.039844779373852814
hawaiian	-0.03298204962756178
healthy	-0.05541761848424561
herbs	-0.03443705408042059
holiday	0.07959074207164545
homemade	0.04973341362226495
indulgent	-0.007340626762921832
italian	0.12555440993830613
italiancuisine	0.047705681619165365
jalapenos	0.00961632091566304
japanesecuisine	0.04418067813664216
juicy	-0.0193380460599282
ketchup	-0.039844779373852814
keto	-0.02210771316140102
kidfriendly	0.03980415006219392
koreancuisine	-0.09622143251633274
laminateddough	0.05487826029583726
lasagna	0.08856627319230767
lattice	-0.0011161025608845765
lettuce	0.0024565174125152278
lime	-0.010001284408760434
loadednachos	0.01242114255764189
lowcarb	-0.02210771316140102
lunch	0.02850649317225075
macandcheese	-0.03345047977264086
maple	-0.05344727565101848
maplesyrup	-0.011344825420981518
masa	0.004007015540372153
mayonnaise	-0.039844779373852814
meal	0.025268201846684192
mealprep	-0.025734833439631337
meat	0.07034357523945903
meatsauce	0.048832804055776065
mexican	0.01598768471697145
mexicancuisine	-0.007511216022840932
mexicanfood	0.01242114255764189
middleeastern	-0.06512572306982502
miso	-0.04247261252689923
muffins	-0.025734833439631337
mushroom	0.02165979376135004
mushrooms	-0.04247261252689923
nachos	0.05862302802263823
noodles	0.03179454129622254
noodlesoup	-0.04247261252689923
nori	-0.03298204962756178
numbing	-0.05531187433019236
nutmeg	0.007075773023758346
oat	0.03356400854001932
oats	-0.017842900264176068
onion	0.02672140434328004
onions	-0.0011343851155307676
onthego	-0.03298204962756178
oven	0.03564593475458338
oysters	0.019964327225706277
pacificislands	-0.039844779373852814
pancakes	-0.011344825420981518
parmesan	0.06589906241579095
partyfood	0.026180979533338877
pasta	0.09097680772905456
pastasauce	0.048832804055776065
pastry	0.04580624545469816
pastrycrust	-0.02867929706575767
peach	0.1286249967711822
peanutbutter	0.05321347065424064
peanutdressing	0.02002538635370471
peanuts	-0.017487294009061554
peppers	-0.0026810327028475582
pickledvegetables	-0.10608247644922267
pie	0.031130701203424822
piecrust	0.0003211298045564301
pork	-0.017487294009061554
porkbelly	-0.04247261252689923
potatoes	0.007274995866437262
protein	-0.025734833439631337
puffpastry	0.03564593475458338
quiche	0.01250336056399609
quick	0.026895002301562727
ramen	-0.04247261252689923
refreshing	0.007529232691200329
relish	0.03779186326563665
rhubarb	0.007529232691200329
rice	-0.03298204962756178
ricevinegar	-0.004021393150725281
rich	0.07966805227631164
ricotta	0.029868290303606992
salad	0.022490963524525426
salsa	0.026927257720617902
salty	-0.03345047977264086
sandwich	-0.0011664773684949435
sauce	0.03779186326563665
savory	0.01117028937519153
scallions	-0.02456534760028706
scallops	0.007750875178157474
seafood	-0.05122235749402911
sesame	-0.03003932585826492
sesameoil	-0.004021393150725281
sesameseeds	-0.004021393150725281
shrimp	0.01728387261843988
sichuancuisine	-0.0727991683392539
sichuanpeppercorns	-0.02456534760028706
sidedish	0.012250773361707774
sidedishes	-0.06485723644105816
skewers	0.01728387261843988
smoky	-0.034949525152133024
snack	-0.08188402512399359
snacks	-0.05524091552539512
sobanoodles	0.010928333637687691
soft	0.03112891525806522
souffle	-0.024849073219747053
soup	-0.016900271352783713
sourcream	0.07985098745786699
southern	0.07889158314891724
southerncuisine	0.019964327225706277
soysauce	-0.05322035259747554
spam	-0.0728268290014146
spices	-0.03443705408042059
spicy	-0.049011838665136157
spicyfood	-0.08741155248048577
spinach	0.04680316639628075
spring	0.007829484010566283
steamed	0.004007015540372153
stirfry	-0.04823382073896685
strawberry	0.007529232691200329
streetfood	-0.028403034317784542
stuffedpeppers	-0.08741155248048577
summer	0.06345789546808955
sushi	-0.03298204962756178
sweet	0.12101714839600297
sweetandsalty	-0.10382131030732987
sweetandsavory	-0.064792101072
sweettreat	0.10309460051290747
taco	0.004245959514128816
tacos	0.036722688752040475
tangy	0.08311295922247362
tart	0.03779186326563665
tea	0.0674486657583241
tempura	0.007332129499992367
tender	0.056397117104749414
texmex	-0.0026810327028475582
thanksgiving	0.0755837265312733
toast	-0.0011664773684949435
tomato	-0.02088777922639104
tomatoes	0.008060504935758474
tomatosauce	0.05145637403097727
tortilla	0.0015466475873167906
tortillabowl	0.004245959514128816
tortillachips	-0.001780382343308101
tortillas	0.004593963163589704
traditional	0.004007015540372153
twisted	0.02244572865997724
udonnoodles	0.007332129499992367
vanilla	0.025361003920275158
vanillaicecream	-0.017842900264176068
vegan	-0.05399770573631974
vegetables	-0.07055294782533042
vegetarian	-0.014240389753941728
warm	0.03564593475458338
whippedcream	-0.017842900264176068
winter	0.031183724387088153
yeastdough	0.02244572865997724
